clade,organism_name
1332,Halobacillus halophilus DSM 2266 
1335,Oceanobacillus iheyensis HTE831
1336,Terribacillus aidingensis 
1339,Bacillus oceanisediminis 2691 
1340,Bacillus infantis NRRL B-14911 
1342,Bacillus sp. X1 2014  
1343,Bacillus simplex
1345,Bacillus coagulans 2-6 
1346,Bacillus coagulans 
1347,Bacillus coagulans 36D1 
1348,Bacillus coagulans 
1351,Bacillus coagulans DSM 1   ATCC 7050 
1354,Anoxybacillus flavithermus WK1 
1355,Anoxybacillus gonensis 
1357,Geobacillus thermodenitrificans NG80-2 
1358,Geobacillus subterraneus 
1359,Geobacillus sp. JF8 
1360,Geobacillus sp. LC300 
1361,Geobacillus sp. 12AMOR1 
1363,Geobacillus sp. JS12 
1364,Geobacillus thermoleovorans CCB US3 UF5 
1365,Geobacillus thermoleovorans 
1366,Geobacillus kaustophilus HTA426
1369,Geobacillus sp. Y412MC61 
1370,Geobacillus stearothermophilus 10 
1371,Geobacillus sp. C56-T3 
1372,Geobacillus sp. GHH01 
1382,Geobacillus sp. WCH70 
1383,Geobacillus thermoglucosidasius C56-YS93 
1384,Geobacillus thermoglucosidasius 
1385,Geobacillus sp. Y4.1MC1 
1391,Bacillus smithii 
1394,Bacillus methanolicus MGA3 
1397,Bacillus megaterium QM B1551 
1398,Bacillus megaterium DSM 319 
1399,Bacillus megaterium WSH-002 
1402,Bacillus megaterium NBRC 15308   ATCC 14581 
1404,Bacillus sp. IHB B 7164 
1406,Bacillus megaterium Q3 
1408,Bacillus sp. 1NLA3E 
1412,Bacillus pumilus 
1413,Bacillus pumilus 
1414,Bacillus pumilus 
1415,Bacillus pumilus 
1418,Bacillus sp. WP8 
1419,Bacillus pumilus 
1421,@GCF 000017885.4 Bacillus pumilus SAFR-032 
1425,Bacillus subtilis subsp. globigii 
1426,Bacillus amyloliquefaciens DSM 7 
1427,Bacillus amyloliquefaciens LL3 
1428,Bacillus amyloliquefaciens TA208 
1431,Bacillus sp. SDLI1 
1432,Bacillus velezensis 
1433,Bacillus sp. Pc3 
1434,Bacillus amyloliquefaciens CC178 
1435,Bacillus subtilis 
1436,Bacillus amyloliquefaciens 
1439,Bacillus velezensis 
1440,Bacillus amyloliquefaciens IT-45 
1444,Bacillus amyloliquefaciens KHG19 
1446,Bacillus subtilis 
1447,Bacillus velezensis 
1448,Bacillus velezensis TrigoCor1448 
1449,Bacillus velezensis 
1450,Bacillus subtilis HJ5 
1451,Bacillus subtilis BSn5 
1452,Bacillus sp. YP1 
1453,Bacillus subtilis subsp. subtilis str. BAB-1 
1454,Bacillus subtilis TO-A 
1455,Bacillus subtilis subsp. inaquosorum 
1456,Bacillus subtilis subsp. natto BEST195
1460,Bacillus subtilis subsp. subtilis str. 168 
1461,Bacillus sp. JS 
1462,Bacillus subtilis 
1463,Bacillus subtilis subsp. spizizenii str. W23 
1465,Bacillus paralicheniformis ATCC 9945a 
1466,Bacillus paralicheniformis 
1467,Bacillus licheniformis 
1468,Bacillus licheniformis DSM 13   ATCC 14580 
1472,Bacillus subtilis subsp. spizizenii TU-B-10 
1476,Bacillus subtilis 
1480,Bacillus subtilis QB928 
1482,Bacillus sp.
1485,Bacillus subtilis subsp. subtilis str. RO-NN-1 
1491,Bacillus amyloliquefaciens Y2 
1494,Bacillus velezensis CAU B946 
1495,Bacillus amyloliquefaciens 
1496,Bacillus amyloliquefaciens 
1503,Bacillus amyloliquefaciens UMAF6639 
1504,Bacillus velezensis SQR9 
1513,@GCF 000972245.3 Bacillus endophyticus 
1514,Bacillus lehensis G1 
1515,Bacillus clausii 
1516,Bacillus clausii KSM-K16
1519,Bacillus pseudofirmus OF4 
1520,Bacillus selenitireducens MLS10 
1521,Bacillus cellulosilyticus DSM 2522 
1524,Bacillus halodurans C-125
1527,Bacillus cytotoxicus NVH 391-98 
1528,Bacillus thuringiensis str. Al Hakam 
1529,Bacillus mycoides 
1531,Bacillus cereus FRI-35 
1532,Bacillus cereus ATCC 10987 
1533,Bacillus cereus 03BB102 
1534,Bacillus cereus F837/76 
1535,Bacillus cereus 03BB108 
1538,Bacillus anthracis 
1539,Bacillus cereus D17 
1540,Bacillus anthracis str. A16R 
1541,Bacillus cereus Q1 
1542,Bacillus cereus ATCC 4342 
1543,Bacillus cereus 
1544,Bacillus anthracis 
1545,Bacillus cereus E33L 
1547,Bacillus cereus 
1548,Bacillus thuringiensis serovar indiana 
1550,Bacillus cereus 
1552,Bacillus thuringiensis serovar kurstaki str. HD73 
1553,Bacillus thuringiensis 
1554,Bacillus cereus B4264 
1555,Bacillus mycoides 
1556,Bacillus weihenstephanensis 
1557,Bacillus weihenstephanensis KBAB4 
1561,Bacillus thuringiensis 
1566,Bacillus cereus 
1567,Bacillus cereus ATCC 14579 
1568,Bacillus cereus 
1570,Bacillus thuringiensis BMB171 
1571,Bacillus cereus E33L 
1572,Bacillus cereus 03BB102 
1578,Bacillus thuringiensis 
1579,Bacillus cereus G9842 
1580,Bacillus toyonensis BCT-7112 
1581,Bacillus thuringiensis serovar thuringiensis str. IS5056 
1584,Bacillus cereus 
1587,Bacillus thuringiensis HD-789 
1588,Bacillus cereus 
1589,Bacillus thuringiensis 
1596,Bacillus cereus AH187 
1600,Bacillus anthracis str. Ames 
1601,Bacillus anthracis str. Sterne 
1604,Bacillus anthracis str. H9401 
1605,Bacillus thuringiensis serovar konkukian str. 97-27 
1606,Bacillus cereus 
1608,Bacillus cereus 
1611,Bacillus anthracis 
1612,Bacillus anthracis str. CDC 684 
1613,Bacillus anthracis 
1618,Bacillus anthracis 
1621,Bacillus thuringiensis 
1622,Bacillus thuringiensis 
1625,Bacillus thuringiensis str. Al Hakam 
1629,Bacillus anthracis str. A16 
1632,Bacillus cereus biovar anthracis str. CI 
1641,Jeotgalibacillus malaysiensis 
1642,Lysinibacillus varians 
1643,Lysinibacillus sphaericus 
1644,@GCF 000724775.3 Lysinibacillus fusiformis 
1647,Solibacillus silvestris StLB046
1648,Solibacillus silvestris 
1651,Bacillus sp. OxB-1
1652,Planococcus kocurii 
1653,Planococcus sp. PAMC 21323 
1658,Listeria ivanovii subsp. ivanovii PAM 55 
1659,Listeria ivanovii WSLC3009 
1661,Listeria ivanovii subsp. londoniensis 
1663,Listeria seeligeri serovar 1/2b str. SLCC3954 
1664,Listeria monocytogenes 
1665,Listeria monocytogenes 
1667,Listeria monocytogenes serotype 4b str. F2365 
1669,Listeria monocytogenes 
1670,Listeria monocytogenes FSL R2-561 
1671,Listeria monocytogenes HCC23 
1675,Listeria monocytogenes serotype 4b str. LL195 
1677,Listeria welshimeri serovar 6b str. SLCC5334 
1683,Aerococcus urinae ACS-120-V-Col10a 
1684,Aerococcus urinae 
1686,Aerococcus christensenii 
1688,Aerococcus urinaeequi 
1689,Aerococcus urinaeequi 
1690,Aerococcus viridans 
1694,Carnobacterium maltaromaticum LMA28 
1695,Carnobacterium inhibens subsp. gilichinskyi 
1696,Carnobacterium sp. 17-4 
1698,Carnobacterium sp. CP1 
1701,Lactobacillus sakei subsp. sakei 23K 
1702,Lactobacillus ginsenosidimutans 
1703,@GCF 000831645.3 Lactobacillus heilongjiangensis 
1705,Lactobacillus ruminis ATCC 27782 
1706,Lactobacillus salivarius UCC118 
1707,Lactobacillus salivarius str. Ren 
1708,Lactobacillus salivarius CECT 5713 
1709,Lactobacillus salivarius 
1715,Weissella koreensis KACC 15510 
1716,Weissella cibaria 
1717,Weissella ceti 
1718,Weissella ceti 
1722,Oenococcus oeni PSU-1 
1723,Leuconostoc citreum KM20 
1724,Leuconostoc carnosum JB16 
1725,Leuconostoc gelidum subsp. gasicomitatum LMG 18811 
1726,Leuconostoc gelidum subsp. gasicomitatum KG16-1
1728,Leuconostoc gelidum JB7 
1731,Leuconostoc sp. C2 
1732,Leuconostoc kimchii IMSNU 11154 
1735,Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293 
1736,Leuconostoc mesenteroides KFRI-MG 
1742,Lactobacillus johnsonii NCC 533 
1743,Lactobacillus gasseri 130918 
1745,Lactobacillus gasseri ATCC 33323   JCM 1131 
1747,Lactobacillus acetotolerans 
1748,Lactobacillus gallinarum 
1749,Lactobacillus helveticus R0052 
1750,Lactobacillus helveticus H10 
1751,Lactobacillus helveticus 
1753,Lactobacillus helveticus DPC 4571 
1754,Lactobacillus helveticus 
1755,Lactobacillus helveticus CNRZ32 
1756,Lactobacillus helveticus 
1763,Lactobacillus acidophilus 30SC 
1764,Lactobacillus amylovorus GRL1118 
1766,Lactobacillus acidophilus NCFM 
1769,Lactobacillus kefiranofaciens ZW3 
1771,Lactobacillus delbrueckii subsp. bulgaricus ND02 
1772,Lactobacillus delbrueckii subsp. bulgaricus 2038 
1773,Lactobacillus delbrueckii subsp. bulgaricus 
1774,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842   JCM 1002 
1777,Lactobacillus delbrueckii subsp. bulgaricus ATCC BAA-365 
1781,Lactobacillus sp. wkB8 
1786,Lactobacillus mucosae LM1 
1787,Lactobacillus fermentum F-6 
1788,Lactobacillus fermentum IFO 3956
1789,@GCF 000466785.3 Lactobacillus fermentum 3872 
1793,Lactobacillus reuteri TD1 
1794,Lactobacillus reuteri SD2112 
1795,Lactobacillus reuteri JCM 1112
1796,Lactobacillus reuteri DSM 20016 
1797,Lactobacillus reuteri I5007 
1798,Lactobacillus reuteri 
1804,Lactobacillus oris 
1808,Lactobacillus hokkaidonensis JCM 18461 
1810,Lactobacillus rhamnosus GG
1811,Lactobacillus casei W56 
1812,Lactobacillus casei LOCK919 
1813,@GCF 000019245.4 Lactobacillus casei str. Zhang 
1814,Lactobacillus casei 12A 
1815,Lactobacillus paracasei subsp. paracasei JCM 8130
1820,Lactobacillus casei BL23 
1821,Lactobacillus casei subsp. casei ATCC 393
1825,Lactobacillus rhamnosus LOCK900 
1827,Lactobacillus rhamnosus Lc 705 
1829,Lactobacillus rhamnosus ATCC 8530 
1832,Pediococcus claussenii ATCC BAA-344 
1833,Bifidobacterium longum subsp. longum 
1834,Pediococcus pentosaceus SL4 
1835,Pediococcus pentosaceus ATCC 25745 
1839,Pediococcus damnosus 
1840,Pediococcus damnosus 
1841,Pediococcus damnosus 
1846,Lactobacillus koreensis 
1847,Lactobacillus brevis ATCC 367 
1848,Lactobacillus brevis KB290
1851,Lactobacillus plantarum ZJ316 
1852,Lactobacillus plantarum JDM1 
1853,Lactobacillus plantarum 
1854,Lactobacillus plantarum DOMLa
1857,Lactobacillus plantarum 
1858,Lactobacillus plantarum subsp. plantarum ST-III 
1859,Lactobacillus plantarum 
1863,Lactobacillus plantarum 
1866,Lactobacillus paraplantarum 
1869,Lactobacillus buchneri CD034 
1870,Lactobacillus buchneri NRRL B-30929 
1872,Lactobacillus kunkeei 
1873,Lactobacillus sanfranciscensis TMW 1.1304 
1880,Streptococcus iniae 
1881,Streptococcus parauberis KCTC 11537 
1883,Streptococcus agalactiae SA20-06 
1884,Streptococcus agalactiae 
1885,Streptococcus agalactiae ILRI005 
1887,Streptococcus agalactiae 2603V/R 
1889,Streptococcus agalactiae 
1890,Streptococcus agalactiae A909 
1891,Streptococcus agalactiae GD201008-001 
1896,Streptococcus pyogenes 
1897,Streptococcus pyogenes MGAS10394 
1898,Streptococcus pyogenes 
1899,Streptococcus pyogenes M1 GAS 
1900,Streptococcus pyogenes MGAS8232 
1901,Streptococcus pyogenes NZ131 
1903,Streptococcus pyogenes 
1904,Streptococcus pyogenes MGAS15252 
1911,Streptococcus equi subsp. zooepidemicus MGCS10565 
1912,Streptococcus equi subsp. zooepidemicus 
1913,Streptococcus equi subsp. equi 4047 
1916,Streptococcus infantarius subsp. infantarius CJ18 
1917,Streptococcus infantarius 
1919,Streptococcus macedonicus ACA-DC 198 
1920,Streptococcus gallolyticus UCN34 
1921,Streptococcus pasteurianus ATCC 43144
1925,Streptococcus suis ST1 
1926,Streptococcus suis 6407 
1927,Streptococcus suis GZ1 
1928,@GCF 000168355.3 Streptococcus suis 05HAS68 
1929,Streptococcus suis ST3 
1933,Streptococcus suis D12 
1934,Streptococcus suis 
1935,Streptococcus suis TL13 
1940,Streptococcus sanguinis SK36 
1941,Streptococcus parasanguinis ATCC 15912 
1942,Streptococcus parasanguinis FW213 
1944,Streptococcus sp. I-P16 
1946,Streptococcus sp. I-G2 
1948,Streptococcus sp. A12 
1949,Streptococcus sp. oral taxon 431 
1950,Streptococcus oralis Uo5 
1951,Streptococcus sp. VT 162 
1953,Streptococcus mitis B6 
1954,Streptococcus pseudopneumoniae IS7493 
1955,Streptococcus pneumoniae 
1956,Streptococcus pneumoniae SPN032672 
1957,Streptococcus pneumoniae JJA 
1958,Streptococcus pneumoniae Taiwan19F-14 
1960,Streptococcus pneumoniae ATCC 700669
1962,Streptococcus pneumoniae 70585 
1963,Streptococcus pneumoniae R6 
1966,Streptococcus pneumoniae P1031 
1967,Streptococcus pneumoniae SPNA45 
1968,Streptococcus pneumoniae CGSP14 
1969,Streptococcus pneumoniae 
1971,Streptococcus pneumoniae TIGR4 
1976,Streptococcus pneumoniae AP200 
1982,Streptococcus mitis 
1983,Streptococcus mitis 
1991,Streptococcus intermedius JTH08
1992,Streptococcus constellatus subsp. pharyngis C232 
1994,Streptococcus anginosus
1995,Streptococcus anginosus C1051 
1996,Streptococcus anginosus C238 
1997,Streptococcus anginosus subsp. whileyi MAS624
2002,Streptococcus gordonii 
2003,Streptococcus gordonii str. Challis substr. CH1 
2006,Streptococcus oligofermentans AS 1.3089 
2010,Streptococcus sp. HTS9 
2011,Streptococcus mutans NN2025
2012,Streptococcus mutans UA159 
2013,Streptococcus mutans LJ23
2015,Streptococcus mutans GS-5 
2019,Streptococcus salivarius CCHSS3 
2020,Streptococcus salivarius JIM8777 
2022,Streptococcus thermophilus LMD-9 
2023,Streptococcus thermophilus ND03 
2024,Streptococcus thermophilus LMG 18311 
2025,Streptococcus thermophilus JIM 8232 
2034,Streptococcus uberis 0140J 
2037,Streptococcus dysgalactiae subsp. equisimilis GGS 124
2038,Streptococcus dysgalactiae subsp. equisimilis RE378
2039,Streptococcus dysgalactiae subsp. equisimilis 167
2040,Streptococcus dysgalactiae subsp. equisimilis AC-2713 
2041,Streptococcus dysgalactiae subsp. equisimilis ATCC 12394 
2049,Lactococcus lactis subsp. cremoris KW2 
2050,Lactococcus lactis subsp. cremoris MG1363 
2051,Lactococcus lactis subsp. cremoris A76 
2052,Lactococcus lactis subsp. cremoris UC509.9 
2055,Lactococcus lactis subsp. cremoris SK11 
2056,Lactococcus lactis subsp. lactis CV56 
2057,Lactococcus lactis subsp. lactis Il1403 
2059,Lactococcus lactis 
2064,Lactococcus garvieae ATCC 49156
2066,Lactococcus piscium MKFS47 
2069,Tetragenococcus halophilus NBRC 12172
2070,Melissococcus plutonius S1
2071,Melissococcus plutonius DAT561
2074,Enterococcus gallinarum 
2075,Enterococcus casseliflavus EC20 
2077,Enterococcus faecium DO 
2078,Enterococcus durans 
2079,Enterococcus durans 
2082,Enterococcus mundtii QU 25
2083,Enterococcus hirae ATCC 9790 
2084,Enterococcus hirae 
2086,Enterococcus faecium T110 
2087,Enterococcus faecium 
2088,Enterococcus faecium Aus0004 
2096,Enterococcus faecalis str. Symbioflor 1 
2097,Enterococcus faecalis V583 
2099,Enterococcus faecalis D32 
2106,Mollicutes bacterium HR1
2107,Ilyobacter polytropus DSM 2926 
2108,Fusobacterium hwasookii ChDC F174 
2109,Fusobacterium hwasookii ChDC F206 
2110,Fusobacterium nucleatum subsp. vincentii 3 1 36A2 
2111,Fusobacterium nucleatum subsp. vincentii 3 1 27 
2113,Fusobacterium nucleatum subsp. animalis 7 1 
2114,Fusobacterium nucleatum subsp. animalis 
2116,Fusobacterium nucleatum subsp. animalis 
2117,Fusobacterium nucleatum subsp. animalis 4 8 
2120,Fusobacterium nucleatum subsp. nucleatum ChDC F316 
2121,Fusobacterium nucleatum subsp. nucleatum ATCC 25586 
2125,Fusobacterium hwasookii ChDC F300 
2129,Fusobacterium nucleatum subsp. polymorphum 
2131,Fusobacterium nucleatum subsp. polymorphum 
2134,Leptotrichia sp. oral taxon 212 
2135,Leptotrichia buccalis C-1013-b 
2137,Sneathia amnii 
2138,Streptobacillus moniliformis DSM 12112 
2141,Sebaldella termitidis ATCC 33386 
2144,Erysipelothrix rhusiopathiae str. Fujisawa 
2145,Acholeplasma brassicae
2146,Acholeplasma oculi
2147,Acholeplasma laidlawii PG-8A 
2149,Acholeplasma palmae J233
2150,Candidatus Phytoplasma mali 
2151,Aster yellows witches -broom phytoplasma AYWB
2152,Onion yellows phytoplasma OY-M
2154,Candidatus Phytoplasma australiense
2161,Spiroplasma chrysopicola DF-1 
2162,Spiroplasma kunkelii CR2-3x 
2164,Spiroplasma mirum ATCC 29335 
2165,Spiroplasma eriocheiris CCTCC M 207170 
2168,Spiroplasma sabaudiense Ar-1343 
2169,Spiroplasma apis B31 
2170,Spiroplasma culicicola AES-1 
2172,Spiroplasma taiwanense CT-1 
2173,Spiroplasma cantharicola 
2174,Spiroplasma diminutum CUAS-1 
2179,Mesoplasma florum L1 
2180,Mycoplasma putrefaciens KS1 
2181,Mycoplasma yeatsii GM274B 
2183,Mycoplasma mycoides subsp. capri str. GM12 
2184,Mycoplasma mycoides subsp. mycoides SC str. PG1 
2185,Mycoplasma mycoides subsp. mycoides 
2187,Mycoplasma mycoides subsp. mycoides SC str. Gladysdale 
2188,Mycoplasma mycoides subsp. mycoides 
2190,Mycoplasma capricolum subsp. capricolum ATCC 27343 
2191,Mycoplasma capricolum subsp. capripneumoniae 
2192,Mycoplasma capricolum subsp. capripneumoniae 
2193,Mycoplasma capricolum subsp. capripneumoniae 87001 
2197,Mycoplasma leachii PG50 
2201,Mycoplasma mycoides subsp. capri LC str. 95010 
2208,Mycoplasma hominis ATCC 23114 
2209,Mycoplasma hominis 
2211,Mycoplasma arthritidis 158L3-1 
2212,Mycoplasma arginini 
2213,Mycoplasma canadense 
2217,Mycoplasma mobile 163K 
2218,Mycoplasma bovoculi M165/69 
2219,Mycoplasma dispar 
2220,Mycoplasma hyopneumoniae 232 
2221,Mycoplasma hyopneumoniae 168 
2222,Mycoplasma hyopneumoniae J 
2223,Mycoplasma hyopneumoniae 7448 
2225,Mycoplasma hyopneumoniae 168-L 
2229,Mycoplasma flocculare ATCC 27399 
2233,Mycoplasma hyorhinis HUB-1 
2234,Mycoplasma hyorhinis MCLD 
2235,Mycoplasma hyorhinis DBS 1050 
2238,Mycoplasma hyorhinis SK76 
2240,Mycoplasma hyorhinis GDL-1 
2244,Mycoplasma californicum 
2245,Mycoplasma californicum HAZ160 1
2247,Mycoplasma fermentans M64 
2248,Mycoplasma fermentans JER 
2251,Mycoplasma agalactiae PG2 
2252,Mycoplasma agalactiae 
2254,Mycoplasma bovis HB0801 
2255,Mycoplasma bovis Hubei-1 
2257,Mycoplasma bovis PG45 
2261,Mycoplasma synoviae 53 
2262,Mycoplasma cynos C142 
2263,Mycoplasma canis 
2264,Mycoplasma canis PG 14 
2268,Mycoplasma crocodyli MP145 
2273,Ureaplasma urealyticum serovar 10 str. ATCC 33699 
2274,Ureaplasma parvum serovar 3 str. ATCC 700970 
2276,Mycoplasma penetrans HF-2
2278,Mycoplasma genitalium M2321 
2279,Mycoplasma genitalium M6320 
2280,Mycoplasma genitalium M6282 
2282,Mycoplasma genitalium G37 
2285,Mycoplasma pneumoniae PI 1428 
2286,Mycoplasma pneumoniae MAC 
2287,Mycoplasma pneumoniae M129 
2291,Mycoplasma gallisepticum str. F 
2292,Mycoplasma gallisepticum VA94 7994-1-7P 
2293,Mycoplasma gallisepticum NY01 2001.047-5-1P 
2295,Mycoplasma gallisepticum str. R high  
2300,Mycoplasma haemocanis str. Illinois 
2301,Mycoplasma haemofelis Ohio2 
2303,Mycoplasma ovis str. Michigan 
2304,Mycoplasma wenyonii str. Massachusetts 
2306,Mycoplasma parvum str. Indiana 
2307,Mycoplasma suis str. Illinois 
2308,Mycoplasma suis KI3806 
2319,Gemella sp. oral taxon 928 
2321,Salinicoccus halodurans 
2322,Macrococcus caseolyticus JCSC5402
2323,Staphylococcus simulans 
2324,Staphylococcus carnosus subsp. carnosus TM300 
2325,Staphylococcus hyicus 
2326,Staphylococcus agnetis 
2328,Staphylococcus schleiferi 
2329,Staphylococcus schleiferi
2331,Staphylococcus schleiferi 
2333,Staphylococcus pseudintermedius ED99 
2334,Staphylococcus pseudintermedius HKU10-03 
2338,Staphylococcus lugdunensis 
2339,Staphylococcus lugdunensis 
2341,Staphylococcus lugdunensis HKU09-01 
2343,Staphylococcus haemolyticus JCSC1435
2344,Staphylococcus haemolyticus 
2347,Staphylococcus saprophyticus 
2348,Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305
2350,Staphylococcus xylosus 
2351,Staphylococcus xylosus 
2354,Staphylococcus equorum 
2357,Staphylococcus pasteuri SP1 
2358,Staphylococcus warneri SG1 
2360,Staphylococcus aureus subsp. aureus ST398 
2361,Staphylococcus aureus 
2362,Staphylococcus aureus subsp. aureus HO 5096 0412 
2363,Staphylococcus aureus subsp. aureus Mu50
2365,Staphylococcus aureus subsp. aureus MW2
2366,Staphylococcus aureus subsp. aureus 
2367,Staphylococcus aureus subsp. aureus 
2369,Staphylococcus aureus 
2371,Staphylococcus aureus 
2372,Staphylococcus aureus 
2374,Staphylococcus aureus 
2376,Staphylococcus aureus subsp. aureus N315
2380,Staphylococcus aureus subsp. aureus ST228 
2381,Staphylococcus aureus 
2383,Staphylococcus aureus subsp. aureus MSSA476
2385,Staphylococcus aureus subsp. aureus str. JKD6008 
2390,Staphylococcus aureus subsp. aureus 
2393,Staphylococcus aureus subsp. aureus 
2395,Staphylococcus aureus subsp. aureus Tager 104 
2397,Staphylococcus aureus RF122 
2399,Staphylococcus capitis subsp. capitis
2400,Staphylococcus epidermidis PM221 
2401,Staphylococcus epidermidis 
2402,Staphylococcus epidermidis ATCC 12228 
2405,Staphylococcus epidermidis
2406,Staphylococcus epidermidis RP62A 
2423,Brevibacillus brevis NBRC 100599
2424,Brevibacillus laterosporus LMG 15441 
2429,Desulfotomaculum acetoxidans DSM 771 
2430,Desulfotomaculum ruminis DSM 2154 
2431,Desulfotomaculum nigrificans CO-1-SRB 
2432,Desulfotomaculum reducens MI-1 
2435,Desulfotomaculum gibsoniae DSM 7213 
2438,Dehalobacter restrictus DSM 9455 
2439,Dehalobacter sp. CF 
2441,Syntrophobotulus glycolicus DSM 8271 
2443,Desulfosporosinus acidiphilus SJ4 
2444,Desulfosporosinus orientis DSM 765 
2446,Desulfosporosinus meridiei DSM 13257 
2448,Desulfitobacterium dichloroeliminans LMG P-21439 
2449,Desulfitobacterium dehalogenans ATCC 51507 
2450,Desulfitobacterium hafniense Y51
2451,Desulfitobacterium hafniense DCB-2 
2455,Desulfitobacterium metallireducens DSM 15288 
2459,Heliobacterium modesticaldum Ice1 
2461,Thermincola potens JR 
2462,Megasphaera elsdenii 14-14
2463,Veillonella parvula DSM 2008 
2465,Selenomonas sputigena ATCC 35185 
2466,Selenomonas sp. oral taxon 478 
2467,Selenomonas sp. oral taxon 136 
2470,Selenomonas ruminantium subsp. lactilytica TAM6421
2473,Acidaminococcus intestini RyC-MR95 
2474,Acidaminococcus fermentans DSM 20731 
2476,Pelosinus fermentans JBW45 
2477,Pelosinus sp. UFO1 
2487,Natranaerobius thermophilus JW/NM-WN-LF 
2488,Symbiobacterium thermophilum IAM 14863
2492,Olsenella sp. oral taxon 807 
2493,Olsenella uli DSM 7084 
2494,Coriobacterium glomerans PW2 
2495,Slackia heliotrinireducens DSM 20476 
2496,Cryptobacterium curtum DSM 15641 
2497,Eggerthella sp. YY7918
2498,Adlercreutzia equolifaciens DSM 19450
2499,Coriobacteriaceae bacterium 68-1-3 
2502,Eggerthella lenta DSM 2243 
2509,Atopobium parvulum DSM 20469 
2511,Thermobispora bispora DSM 43833 
2512,Acidothermus cellulolyticus 11B 
2513,Frankia sp. EuI1c 
2514,Frankia sp. EAN1pec 
2515,Frankia alni ACN14a 
2516,Frankia symbiont of Datisca glomerata 
2517,Frankia sp. CcI3 
2522,Kutzneria albida DSM 43870 
2523,Saccharothrix espanaensis DSM 44229 
2524,Actinosynnema mirum DSM 43827 
2527,Saccharopolyspora erythraea NRRL 2338 
2528,Saccharomonospora viridis DSM 43017 
2530,Amycolatopsis japonica 
2531,Amycolatopsis orientalis HCCB10007 
2533,Amycolatopsis mediterranei U32 
2534,Amycolatopsis mediterranei S699 
2537,Amycolatopsis methanolica 239
2540,Kibdelosporangium phytohabitans 
2541,Pseudonocardia sp. EC080625-04 
2542,Pseudonocardia sp. EC080619-01
2544,Pseudonocardia sp. HH130629-09
2545,Pseudonocardia sp. AL041005-10 
2548,Pseudonocardia dioxanivorans CB1190 
2553,Rhodococcus opacus B4
2554,Rhodococcus sp. B7740 
2555,Rhodococcus fascians D188 
2556,Rhodococcus sp. PBTS2 
2559,Rhodococcus erythropolis PR4
2560,Rhodococcus erythropolis 
2563,Rhodococcus jostii RHA1 
2565,Rhodococcus opacus PD630 
2568,Rhodococcus equi 103S 
2570,Nocardia farcinica IFM 10152
2571,Nocardia brasiliensis ATCC 700358 
2572,Nocardia nova SH22a 
2573,Nocardia cyriacigeorgica GUH-2 
2578,Gordonia bronchialis DSM 43247 
2579,Gordonia sp. QH-11 
2580,Gordonia sp. KTR9 
2583,Gordonia polyisoprenivorans VH2 
2585,Lawsonella clevelandensis 
2586,Corynebacterium lactis RW2-5 
2587,Corynebacterium sp. ATCC 6931 
2589,Corynebacterium testudinoris 
2590,Corynebacterium marinum DSM 44953 
2591,Corynebacterium epidermidicanis 
2592,Corynebacterium argentoratense DSM 44202 
2593,Corynebacterium ulcerans 0102
2594,Corynebacterium ulcerans 
2596,Corynebacterium ulcerans FRC58 
2597,Corynebacterium ulcerans BR-AD22 
2599,Corynebacterium pseudotuberculosis 
2600,Corynebacterium pseudotuberculosis 
2601,Corynebacterium pseudotuberculosis 
2603,Corynebacterium pseudotuberculosis 
2604,Corynebacterium pseudotuberculosis 
2607,Corynebacterium pseudotuberculosis 316 
2610,Corynebacterium pseudotuberculosis FRC41 
2612,Corynebacterium pseudotuberculosis Cp162 
2614,Corynebacterium pseudotuberculosis CIP 52.97 
2615,@GCF 000263755.4 Corynebacterium pseudotuberculosis 258 
2619,Corynebacterium ulcerans FRC11 
2621,Corynebacterium ulcerans 809 
2622,Corynebacterium ulcerans
2626,Corynebacterium kutscheri 
2628,Corynebacterium mustelae 
2629,Corynebacterium vitaeruminis DSM 20294 
2632,Corynebacterium diphtheriae PW8 
2633,Corynebacterium diphtheriae BH8 
2634,Corynebacterium diphtheriae C7  beta  
2636,Corynebacterium diphtheriae HC02 
2639,Corynebacterium diphtheriae HC04 
2641,Corynebacterium diphtheriae HC03 
2643,Corynebacterium diphtheriae 241 
2644,Corynebacterium diphtheriae 31A 
2652,Corynebacterium efficiens YS-314
2653,Corynebacterium deserti GIMN1.010 
2654,Corynebacterium glutamicum 
2655,Corynebacterium glutamicum R
2656,Corynebacterium glutamicum ATCC 13032 
2658,Corynebacterium glutamicum 
2660,Corynebacterium glutamicum 
2661,Corynebacterium glutamicum 
2663,Corynebacterium glutamicum 
2665,Corynebacterium glutamicum SCgG1 
2670,Corynebacterium callunae DSM 20147 
2673,Corynebacterium uterequi 
2674,Corynebacterium doosanense CAU 212   DSM 45436 
2678,Corynebacterium humireducens NBRC 106098   DSM 45392 
2679,Corynebacterium halotolerans YIM 70093   DSM 44683 
2680,Corynebacterium atypicum 
2681,Corynebacterium maris DSM 45190 
2686,Corynebacterium casei LMG S-19264 
2687,Corynebacterium singulare 
2688,Corynebacterium aurimucosum ATCC 700975 
2690,Corynebacterium simulans 
2691,Corynebacterium simulans 
